name;type;balanced
ch4;bus;True
electricity;bus;True
emi_ch4_f_ind;bus;True
emi_co2_f_ind;bus;True
emi_co2_f_pow;bus;True
emi_co2_neg_air_dacc;bus;True
emi_co2_neg_fuel_cc;bus;True
emi_co2_neg_fuel_cc_ind;bus;True
emi_co2_neg_proc_cc;bus;True
emi_co2_reusable;bus;True
emi_n2o_f_ind;bus;True
exo_steel;bus;True
generic_commodity;bus;True
iip_coke;bus;True
iip_heat_proc;bus;True
iip_steel_blafu_slag;bus;True
iip_steel_crudesteel;bus;True
iip_steel_iron_pellets;bus;True
iip_steel_raw_iron;bus;True
iip_steel_scrap;bus;True
iip_steel_sinter;bus;True
iip_steel_sponge_iron;bus;True
pri_coal;bus;True
sec_biogas;bus;True
sec_elec;bus;True
sec_elec_ind;bus;True
sec_heat_high;bus;True
sec_heat_low;bus;True
sec_heavy_fuel_oil;bus;True
sec_hydrogen;bus;True
sec_hydrogen_orig;bus;True
sec_methane;bus;True
sec_methane_orig;bus;True
sec_natural_gas_syn;bus;True
sec_syngas_sr;bus;True
sec_waste_heat_high_steel;bus;True
